Entry,2,4,8,16
60000,0.3710,0.6772,1.2255,1.0474
70000,0.3200,0.6074,1.1146,0.8923
80000,0.2759,0.5452,1.1034,1.0712
90000,0.2428,0.5197,1.0146,1.1009
100000,0.2473,0.4698,0.8974,1.0222
110000,0.2152,0.3984,0.7785,0.9819
