Entry,2,4,8
20000,2.0695,1.9411,1.5508
30000,2.0829,1.9717,1.6566
40000,2.0799,1.9689,1.7286
50000,2.0606,1.9545,1.7326
60000,2.0586,1.9502,1.7139
70000,2.1492,2.0418,1.8203
80000,2.1292,2.0243,1.7983
90000,2.1011,1.9980,1.7765
100000,2.1008,1.9927,1.7992
110000,2.0942,1.9937,1.7610
120000,2.0920,1.9899,1.7857
130000,2.0999,1.9970,1.8044
140000,2.0893,1.9858,1.7711
150000,2.0835,1.9785,1.8024
