Entry,sequential,sequential-dev,2-avg,2-dev,4-avg,4-dev,8-avg,8-dev,12-avg,12-dev
20000,0.520927,0.007302,0.251720,0.090620,0.268363,0.129603,0.335913,0.207673,0.324186,0.209553
30000,1.154770,0.004301,0.554396,0.196720,0.585668,0.278434,0.697083,0.425759,0.710624,0.459082
40000,2.041600,0.029389,0.981598,0.348007,1.036900,0.491728,1.181050,0.714137,1.262060,0.810052
50000,3.163870,0.015246,1.535410,0.544052,1.618750,0.767357,1.826110,1.097310,1.958600,1.250890
60000,4.547140,0.024297,2.208850,0.782604,2.331570,1.105740,2.653130,1.596030,2.738470,1.743940
70000,6.460420,0.026635,3.005940,1.064470,3.164060,1.500150,3.549100,2.128250,3.728770,2.378120
80000,8.379720,0.039073,3.935640,1.394670,4.139520,1.961840,4.659700,2.795080,4.834760,3.074570
90000,10.463100,0.051803,4.979900,1.764500,5.236830,2.483940,5.889570,3.534870,6.238350,3.973280
100000,12.900500,0.063130,6.140840,2.175120,6.473830,3.079830,7.170240,4.283340,7.563520,4.800710
110000,15.580100,0.068551,7.439490,2.639020,7.814860,3.704580,8.847340,5.308410,9.313480,5.926580
120000,18.505200,0.085057,8.845710,3.140180,9.299730,4.408170,10.362900,6.199000,10.833400,6.878780
130000,21.783300,0.073899,10.373500,3.674390,10.907800,5.165690,12.072600,7.214070,12.758700,8.097550
140000,25.134600,0.104622,12.030300,4.260640,12.657100,5.995110,14.191700,8.498320,14.962800,9.508990
150000,28.713500,0.051132,13.781200,4.876740,14.512500,6.874520,15.931100,9.506520,16.949200,10.768000
